userId,group,blockNo,trialNo,plant1,plant2,plant3,plant4,plant5,CFplant1,CFplant2,CFplant3,CFplant4,CFplant5,shubNoOld,shubNoNew
072930bfbcf44d7abbc5a9676b01bef2,1,1,1,1,1,1,1,1,1,3,2,1,4,10,13
072930bfbcf44d7abbc5a9676b01bef2,1,1,2,1,1,1,0,0,2,1,2,0,0,13,5
072930bfbcf44d7abbc5a9676b01bef2,1,2,3,2,1,2,0,0,2,1,2,1,1,5,2
072930bfbcf44d7abbc5a9676b01bef2,1,2,4,1,1,1,1,1,1,3,2,1,4,2,2
072930bfbcf44d7abbc5a9676b01bef2,1,3,5,1,3,2,1,4,2,5,2,1,4,2,2
072930bfbcf44d7abbc5a9676b01bef2,1,3,6,0,2,2,3,2,0,2,2,2,3,2,2
072930bfbcf44d7abbc5a9676b01bef2,1,4,7,0,2,2,2,3,1,3,2,2,4,2,2
072930bfbcf44d7abbc5a9676b01bef2,1,4,8,0,4,3,2,0,0,4,2,2,4,2,2
072930bfbcf44d7abbc5a9676b01bef2,1,5,9,0,2,1,1,6,0,3,1,1,6,2,2
072930bfbcf44d7abbc5a9676b01bef2,1,5,10,0,0,2,2,6,1,1,2,2,6,2,2
072930bfbcf44d7abbc5a9676b01bef2,1,6,11,1,1,2,2,6,1,3,1,2,6,2,2
072930bfbcf44d7abbc5a9676b01bef2,1,6,12,0,0,0,0,0,0,1,0,1,0,2,2
a9132e340ada426280483591e4b96474,1,1,1,2,2,2,2,2,1,3,2,2,4,10,13
a9132e340ada426280483591e4b96474,1,1,2,3,3,3,3,3,3,3,4,3,4,13,7
a9132e340ada426280483591e4b96474,1,2,3,1,3,4,3,4,2,5,4,3,4,7,10
a9132e340ada426280483591e4b96474,1,2,4,0,0,6,0,6,0,1,7,0,6,10,11
a9132e340ada426280483591e4b96474,1,3,5,1,6,6,1,6,2,6,7,1,6,11,2
a9132e340ada426280483591e4b96474,1,3,6,0,0,6,0,6,0,1,7,0,6,2,2
a9132e340ada426280483591e4b96474,1,4,7,0,1,6,0,6,0,3,6,0,5,2,2
a9132e340ada426280483591e4b96474,1,4,8,4,4,0,4,0,5,4,0,2,0,2,2
a9132e340ada426280483591e4b96474,1,5,9,2,2,2,2,2,1,3,2,2,4,2,2
a9132e340ada426280483591e4b96474,1,5,10,0,1,4,0,4,0,3,4,0,4,2,2
a9132e340ada426280483591e4b96474,1,6,11,0,3,4,0,4,0,5,4,1,4,2,2
a9132e340ada426280483591e4b96474,1,6,12,1,1,1,1,1,1,3,2,1,4,2,2
e977db639f1e44f3a528a8cfdcfd72bb,1,1,1,2,2,2,2,2,1,3,2,2,4,10,13
e977db639f1e44f3a528a8cfdcfd72bb,1,1,2,3,3,3,2,2,3,3,3,2,4,13,18
e977db639f1e44f3a528a8cfdcfd72bb,1,2,3,4,4,4,3,3,4,4,5,3,4,18,9
e977db639f1e44f3a528a8cfdcfd72bb,1,2,4,3,2,2,1,1,3,3,2,1,4,9,12
e977db639f1e44f3a528a8cfdcfd72bb,1,3,5,2,2,2,3,3,2,2,2,4,4,12,6
e977db639f1e44f3a528a8cfdcfd72bb,1,3,6,1,2,1,1,1,1,3,2,1,4,6,8
e977db639f1e44f3a528a8cfdcfd72bb,1,4,7,2,2,2,1,1,1,3,2,1,4,8,11
e977db639f1e44f3a528a8cfdcfd72bb,1,4,8,3,2,2,2,2,3,3,3,2,4,11,15
e977db639f1e44f3a528a8cfdcfd72bb,1,5,9,3,3,3,3,3,3,3,4,3,4,15,8
e977db639f1e44f3a528a8cfdcfd72bb,1,5,10,2,2,2,1,1,1,3,2,1,4,8,11
e977db639f1e44f3a528a8cfdcfd72bb,1,6,11,2,2,2,2,3,1,3,2,2,4,11,15
e977db639f1e44f3a528a8cfdcfd72bb,1,6,12,3,3,3,3,3,3,3,4,3,4,15,8
77ae400e8cbf4205b8597e06c7570aaa,1,1,1,0,0,0,0,0,0,1,0,1,0,10,4
77ae400e8cbf4205b8597e06c7570aaa,1,1,2,0,0,0,0,0,0,1,0,1,0,4,2
77ae400e8cbf4205b8597e06c7570aaa,1,2,3,0,0,0,1,0,1,3,0,1,4,2,2
77ae400e8cbf4205b8597e06c7570aaa,1,2,4,0,0,1,0,1,2,0,1,0,1,2,2
77ae400e8cbf4205b8597e06c7570aaa,1,3,5,1,1,1,0,1,2,1,1,1,1,2,2
77ae400e8cbf4205b8597e06c7570aaa,1,3,6,0,0,0,0,0,0,1,0,1,0,2,2
77ae400e8cbf4205b8597e06c7570aaa,1,4,7,0,1,2,0,2,0,2,2,1,2,2,2
77ae400e8cbf4205b8597e06c7570aaa,1,4,8,0,0,1,0,1,2,0,1,0,1,2,2
77ae400e8cbf4205b8597e06c7570aaa,1,5,9,0,0,2,1,2,1,3,2,1,4,2,2
77ae400e8cbf4205b8597e06c7570aaa,1,5,10,0,1,0,0,2,1,1,0,1,2,2,2
77ae400e8cbf4205b8597e06c7570aaa,1,6,11,0,1,0,0,2,1,1,0,1,2,2,2
77ae400e8cbf4205b8597e06c7570aaa,1,6,12,0,1,1,1,1,1,3,2,1,4,2,2
9c755eec1762462ca273133e426aab0d,1,1,1,1,0,1,1,1,1,3,2,1,4,10,13
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,1,1,1,1,1,1,0,1,3,2,1,4,10,13
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,1,2,1,1,1,1,1,1,3,2,1,4,13,18
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,2,3,0,3,3,3,4,0,5,3,4,4,18,26
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,2,4,1,3,3,2,4,1,5,3,0,4,26,38
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,3,5,1,3,2,3,4,1,5,1,3,4,38,56
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,3,6,1,3,3,4,5,1,5,3,4,4,56,83
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,4,7,2,4,3,3,6,1,5,3,3,6,83,124
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,4,8,3,4,5,5,6,3,5,5,5,6,124,185
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,5,9,4,6,5,5,6,4,5,6,5,6,185,124
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,5,10,2,4,5,4,6,2,5,5,4,5,124,185
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,6,11,3,5,5,5,6,-1000,-1000,-1000,-1000,-1000,185,309
f1aab8e7e81a4fc5b4a0db4a1c8ed6e2,0,6,12,3,5,5,5,6,-1000,-1000,-1000,-1000,-1000,309,516
2a99a30f53de4511957af4a196b46fc0,0,1,1,2,0,0,5,2,2,0,0,2,2,10,5
2a99a30f53de4511957af4a196b46fc0,0,1,2,0,0,0,5,0,0,0,1,5,4,5,2
2a99a30f53de4511957af4a196b46fc0,0,2,3,0,0,0,2,0,1,3,0,2,4,2,2
2a99a30f53de4511957af4a196b46fc0,0,2,4,0,0,0,2,0,1,3,0,2,4,2,2
2a99a30f53de4511957af4a196b46fc0,0,3,5,0,0,0,2,0,1,3,0,2,4,2,2
2a99a30f53de4511957af4a196b46fc0,0,3,6,0,0,0,0,0,0,1,0,1,0,2,2
2a99a30f53de4511957af4a196b46fc0,0,4,7,0,0,0,2,0,1,3,0,2,4,2,2
2a99a30f53de4511957af4a196b46fc0,0,4,8,1,1,1,0,0,2,1,2,0,0,2,2
2a99a30f53de4511957af4a196b46fc0,0,5,9,0,0,0,3,0,0,1,0,1,0,2,2
2a99a30f53de4511957af4a196b46fc0,0,5,10,0,0,0,0,0,0,1,0,1,0,2,2
2a99a30f53de4511957af4a196b46fc0,0,6,11,0,3,3,0,0,2,3,3,0,0,2,2
2a99a30f53de4511957af4a196b46fc0,0,6,12,0,0,0,0,2,0,0,0,1,2,2,2
b83cf4848ab44a7693f65be62f3ce14e,1,1,1,0,0,0,6,0,0,1,0,6,4,10,5
b83cf4848ab44a7693f65be62f3ce14e,1,1,2,0,0,0,0,6,0,1,0,0,6,5,5
b83cf4848ab44a7693f65be62f3ce14e,1,2,3,0,1,0,0,6,0,3,0,0,7,5,6
b83cf4848ab44a7693f65be62f3ce14e,1,2,4,0,1,0,5,0,0,1,0,1,0,6,3
b83cf4848ab44a7693f65be62f3ce14e,1,3,5,6,1,0,0,0,6,1,0,1,0,3,2
b83cf4848ab44a7693f65be62f3ce14e,1,3,6,0,1,0,0,1,0,1,0,1,0,2,2
b83cf4848ab44a7693f65be62f3ce14e,1,4,7,0,1,0,1,0,1,3,0,1,4,2,2
b83cf4848ab44a7693f65be62f3ce14e,1,4,8,0,1,0,1,1,1,3,0,1,4,2,2
b83cf4848ab44a7693f65be62f3ce14e,1,5,9,0,3,0,1,4,0,5,0,0,4,2,2
b83cf4848ab44a7693f65be62f3ce14e,1,5,10,0,3,0,1,4,0,5,0,0,4,2,2
b83cf4848ab44a7693f65be62f3ce14e,1,6,11,0,5,0,0,4,-1000,-1000,-1000,-1000,-1000,2,3
b83cf4848ab44a7693f65be62f3ce14e,1,6,12,0,5,0,0,4,-1000,-1000,-1000,-1000,-1000,3,5
9fbef521062b49189f82774ae831f680,1,1,1,0,0,0,0,0,0,1,0,1,0,10,4
9fbef521062b49189f82774ae831f680,1,1,2,0,0,0,0,0,0,1,0,1,0,4,2
9fbef521062b49189f82774ae831f680,1,2,3,0,0,0,0,0,0,1,0,1,0,2,2
9fbef521062b49189f82774ae831f680,1,2,4,6,6,6,6,6,6,5,7,6,6,2,2
9fbef521062b49189f82774ae831f680,1,3,5,0,0,0,0,0,0,1,0,1,0,2,2
9fbef521062b49189f82774ae831f680,1,3,6,6,6,6,6,6,6,5,7,6,6,2,2
9fbef521062b49189f82774ae831f680,1,4,7,0,0,0,0,0,0,1,0,1,0,2,2
9fbef521062b49189f82774ae831f680,1,4,8,6,6,6,6,6,6,5,7,6,6,2,2
9fbef521062b49189f82774ae831f680,1,5,9,0,0,0,6,6,0,1,0,7,6,2,2
9fbef521062b49189f82774ae831f680,1,5,10,0,0,0,0,0,0,1,0,1,0,2,2
9fbef521062b49189f82774ae831f680,1,6,11,5,6,6,6,0,4,5,6,6,0,2,2
9fbef521062b49189f82774ae831f680,1,6,12,0,0,0,0,0,0,1,0,1,0,2,2
14572443a9874ec8a36c97ac1b3db952,0,1,1,4,2,3,5,0,6,2,3,5,0,10,5
14572443a9874ec8a36c97ac1b3db952,0,1,2,0,3,4,0,6,0,5,5,0,7,5,7
14572443a9874ec8a36c97ac1b3db952,0,2,3,0,6,6,0,6,0,5,7,0,7,7,2
14572443a9874ec8a36c97ac1b3db952,0,2,4,6,6,6,6,6,6,5,7,6,6,2,2
14572443a9874ec8a36c97ac1b3db952,0,3,5,6,6,6,6,6,6,5,7,6,6,2,2
14572443a9874ec8a36c97ac1b3db952,0,3,6,6,6,6,6,6,6,5,7,6,6,2,2
14572443a9874ec8a36c97ac1b3db952,0,4,7,6,6,0,3,5,6,6,0,3,3,2,2
14572443a9874ec8a36c97ac1b3db952,0,4,8,6,6,6,6,6,6,5,7,6,6,2,2
9a5f9265875c4a52b9dff7973c0fe2a3,1,1,1,0,0,0,1,0,1,3,0,1,4,10,13
9a5f9265875c4a52b9dff7973c0fe2a3,1,1,2,2,4,3,6,4,2,5,3,7,4,13,19
14572443a9874ec8a36c97ac1b3db952,0,5,9,6,6,3,6,6,6,5,3,5,6,2,2
14572443a9874ec8a36c97ac1b3db952,0,5,10,4,4,0,2,2,4,4,0,3,4,2,2
14572443a9874ec8a36c97ac1b3db952,0,6,11,4,5,3,3,6,-1000,-1000,-1000,-1000,-1000,2,3
14572443a9874ec8a36c97ac1b3db952,0,6,12,2,5,5,3,4,-1000,-1000,-1000,-1000,-1000,3,5
9a5f9265875c4a52b9dff7973c0fe2a3,1,2,3,3,3,3,3,3,3,3,4,3,4,19,10
9a5f9265875c4a52b9dff7973c0fe2a3,1,2,4,3,3,3,4,4,3,5,2,4,4,10,14
9a5f9265875c4a52b9dff7973c0fe2a3,1,3,5,4,4,4,2,2,4,4,4,2,4,14,19
9a5f9265875c4a52b9dff7973c0fe2a3,1,3,6,3,2,1,1,1,4,3,1,1,4,19,26
9a5f9265875c4a52b9dff7973c0fe2a3,1,4,7,3,2,2,3,3,3,2,2,2,3,26,14
9a5f9265875c4a52b9dff7973c0fe2a3,1,4,8,3,3,1,4,2,3,3,0,2,2,14,7
9a5f9265875c4a52b9dff7973c0fe2a3,1,5,9,2,3,2,2,1,1,3,2,2,4,7,9
9a5f9265875c4a52b9dff7973c0fe2a3,1,5,10,2,2,1,1,1,2,3,1,1,5,9,12
9a5f9265875c4a52b9dff7973c0fe2a3,1,6,11,3,2,2,1,1,3,3,2,1,4,12,16
9a5f9265875c4a52b9dff7973c0fe2a3,1,6,12,2,2,1,1,1,2,3,1,1,5,16,22
678e549d92d649c3a91e7cea445e087b,0,1,1,1,1,1,0,0,2,1,2,0,0,10,4
678e549d92d649c3a91e7cea445e087b,0,1,2,0,0,0,2,0,1,3,0,2,4,4,5
678e549d92d649c3a91e7cea445e087b,0,2,3,2,1,2,0,0,2,1,2,1,1,5,2
678e549d92d649c3a91e7cea445e087b,0,2,4,0,0,0,1,1,1,3,0,1,4,2,2
678e549d92d649c3a91e7cea445e087b,0,3,5,2,1,2,1,0,1,3,2,1,4,2,2
678e549d92d649c3a91e7cea445e087b,0,3,6,0,0,0,0,0,0,1,0,1,0,2,2
678e549d92d649c3a91e7cea445e087b,0,4,7,1,4,2,4,2,2,4,2,4,4,2,2
678e549d92d649c3a91e7cea445e087b,0,4,8,3,0,0,1,1,3,3,0,1,5,2,2
678e549d92d649c3a91e7cea445e087b,0,5,9,2,4,0,1,0,2,5,0,0,4,2,2
678e549d92d649c3a91e7cea445e087b,0,5,10,1,3,0,2,1,1,3,0,2,4,2,2
678e549d92d649c3a91e7cea445e087b,0,6,11,2,4,2,1,4,2,5,2,1,4,2,2
678e549d92d649c3a91e7cea445e087b,0,6,12,0,0,0,0,0,0,1,0,1,0,2,2
